TM,STN,TA,CA_TOT,SS,SI,WS,HM
2026-08-13 02:00:00,159,25.3,8.0,,,1.6,68.0
2026-08-13 02:00:00,162,23.8,1.0,,,1.5,74.0
2026-08-13 02:00:00,165,24.7,5.0,,,2.0,77.0
2026-08-13 02:00:00,168,26.0,1.0,,,3.0,64.0
2026-08-13 02:00:00,169,23.7,4.0,,,2.4,76.0
2026-08-13 02:00:00,170,23.9,4.0,,,1.6,74.0
2026-08-13 02:00:00,172,22.2,6.0,,,0.6,100.0
2026-08-13 02:00:00,174,19.6,3.0,,,0.1,92.0
2026-08-13 02:00:00,177,24.1,3.0,,,2.9,74.0
2026-08-13 02:00:00,181,21.0,2.0,,,1.2,84.0
2026-08-13 02:00:00,184,26.3,6.0,,,1.4,78.0
2026-08-13 02:00:00,185,24.7,1.0,,,3.4,80.0
2026-08-13 02:00:00,188,27.0,10.0,,,3.3,71.0
2026-08-13 02:00:00,189,26.1,5.0,,,2.0,77.0
2026-08-13 02:00:00,192,20.7,1.0,,,0.0,87.0
2026-08-13 02:00:00,201,21.8,5.0,,,1.9,73.0
